"table_name","column_name","data_type","is_nullable"
alerta_analisado,id,bigint,NO
alerta_analisado,nr_atendimento,text,NO
alerta_analisado,tipo_alerta,text,NO
alerta_analisado,comentario,text,YES
alerta_analisado,unidade,text,NO
alerta_analisado,analisado_em,timestamp with time zone,NO
alerta_analisado,analisado_por,bigint,YES
alerta_analisado,status,boolean,NO
alerta_analisado,alta_confirmada,boolean,YES
alerta_analisado,contato_realizado,boolean,YES
audit_logs,id,bigint,NO
audit_logs,user_id,bigint,YES
audit_logs,acao,character varying,NO
audit_logs,recurso,character varying,NO
audit_logs,detalhes,jsonb,YES
audit_logs,ip,inet,YES
audit_logs,user_agent,text,YES
audit_logs,criado_em,timestamp with time zone,NO
dashboard_widgets,id,uuid,NO
dashboard_widgets,dashboard_id,text,NO
dashboard_widgets,metric_version_id,uuid,YES
dashboard_widgets,widget_type,character varying,NO
dashboard_widgets,config,jsonb,YES
dashboard_widgets,position,jsonb,YES
dashboard_widgets,size,jsonb,YES
dashboard_widgets,created_at,timestamp with time zone,YES
dashboard_widgets,updated_at,timestamp with time zone,YES
dashboard_widgets,created_by,character varying,YES
dashboards,id,text,NO
dashboards,component_name,text,NO
dashboards,component_path,text,NO
dashboards,created_at,timestamp with time zone,NO
historico_pendencias,id,bigint,NO
historico_pendencias,dt_execucao,timestamp with time zone,NO
historico_pendencias,atend_para_cancelar,integer,NO
historico_pendencias,atend_sem_convenio,integer,NO
historico_pendencias,atend_sem_unid_setor,integer,NO
historico_pendencias,internacao_sem_alta,integer,NO
historico_pendencias,obito_sem_do,integer,NO
historico_pendencias,paciente_teste,integer,NO
historico_pendencias,urgencia_sem_alta,integer,NO
historico_pendencias,alta_hospitar_sem_obito,integer,NO
historico_pendencias,intern_unidade_errada,integer,NO
historico_pendencias,created_at,timestamp with time zone,NO
historico_permanencia,id,bigint,NO
historico_permanencia,data_hora,timestamp with time zone,NO
historico_permanencia,criticos,integer,NO
historico_permanencia,urgentes,integer,NO
historico_permanencia,total,integer,NO
historico_permanencia,media_permanencia,numeric,YES
historico_permanencia,created_at,timestamp with time zone,NO
historico_unidades,id,bigint,NO
historico_unidades,data_hora,timestamp with time zone,NO
historico_unidades,unidade,text,NO
historico_unidades,tipo,text,NO
historico_unidades,criticos,integer,NO
historico_unidades,urgentes,integer,NO
historico_unidades,total,integer,NO
historico_unidades,created_at,timestamp with time zone,NO
historico_unidades_pendencias,id,bigint,NO
historico_unidades_pendencias,dt_execucao,timestamp with time zone,NO
historico_unidades_pendencias,unidade,text,NO
historico_unidades_pendencias,tipo_pendencia,text,NO
historico_unidades_pendencias,quantidade,integer,NO
historico_unidades_pendencias,created_at,timestamp with time zone,NO
imagens_unidades,id,integer,NO
imagens_unidades,cd_estabelecimento,character varying,NO
imagens_unidades,nome_unidade,character varying,NO
imagens_unidades,imagem_url,text,YES
imagens_unidades,imagem_base64,text,YES
imagens_unidades,tipo_imagem,character varying,YES
imagens_unidades,data_criacao,timestamp without time zone,YES
imagens_unidades,data_atualizacao,timestamp without time zone,YES
imagens_unidades,ativo,boolean,YES
metric_audit_log,id,uuid,NO
metric_audit_log,metric_id,uuid,NO
metric_audit_log,metric_version_id,uuid,YES
metric_audit_log,action,character varying,NO
metric_audit_log,user_id,character varying,NO
metric_audit_log,changes,jsonb,YES
metric_audit_log,ip_address,inet,YES
metric_audit_log,user_agent,text,YES
metric_audit_log,created_at,timestamp with time zone,YES
metric_dependencies,id,uuid,NO
metric_dependencies,metric_version_id,uuid,NO
metric_dependencies,schema_name,character varying,NO
metric_dependencies,table_name,character varying,NO
metric_dependencies,columns,ARRAY,YES
metric_dependencies,dependency_type,character varying,YES
metric_dependencies,created_at,timestamp with time zone,YES
metric_tests,id,uuid,NO
metric_tests,metric_version_id,uuid,NO
metric_tests,test_name,character varying,NO
metric_tests,test_sql,text,NO
metric_tests,expected_result,jsonb,YES
metric_tests,status,USER-DEFINED,YES
metric_tests,last_run_at,timestamp with time zone,YES
metric_tests,last_run_error,text,YES
metric_tests,last_run_result,jsonb,YES
metric_tests,created_at,timestamp with time zone,YES
metric_tests,created_by,character varying,YES
metric_versions,id,uuid,NO
metric_versions,metric_id,uuid,NO
metric_versions,version,integer,NO
metric_versions,status,USER-DEFINED,YES
metric_versions,definition_sql,text,NO
metric_versions,parameters,jsonb,YES
metric_versions,preview_limit,integer,YES
metric_versions,created_at,timestamp with time zone,YES
metric_versions,created_by,character varying,YES
metric_versions,published_at,timestamp with time zone,YES
metric_versions,published_by,character varying,YES
metrics,id,uuid,NO
metrics,name,character varying,NO
metrics,slug,character varying,NO
metrics,description,text,YES
metrics,owner,character varying,NO
metrics,tags,jsonb,YES
metrics,workspace_schema,character varying,YES
metrics,created_at,timestamp with time zone,YES
metrics,updated_at,timestamp with time zone,YES
metrics,created_by,character varying,YES
metrics,updated_by,character varying,YES
panel_configurations,id,bigint,NO
panel_configurations,name,text,NO
panel_configurations,electron_screens,integer,NO
panel_configurations,electron_order,text,YES
panel_configurations,dashboard_ids,ARRAY,NO
panel_configurations,is_active,boolean,NO
panel_configurations,updated_by,text,YES
panel_configurations,updated_at,timestamp with time zone,NO
password_reset_tokens,id,bigint,NO
password_reset_tokens,user_id,bigint,NO
password_reset_tokens,token_hash,text,NO
password_reset_tokens,expires_at,timestamp with time zone,NO
password_reset_tokens,used_at,timestamp with time zone,YES
password_reset_tokens,created_at,timestamp with time zone,NO
permissions,id,bigint,NO
permissions,codigo,character varying,NO
permissions,descricao,text,YES
permissions,criado_em,timestamp with time zone,NO
role_permissions,role_id,bigint,NO
role_permissions,permission_id,bigint,NO
roles,id,bigint,NO
roles,nome,character varying,NO
roles,descricao,text,YES
roles,criado_em,timestamp with time zone,NO
