"table_name","column_name","data_type","is_nullable"
dashboards,id,text,NO
dashboards,name,text,NO
dashboards,description,text,YES
dashboards,config,jsonb,NO
dashboards,is_template,boolean,YES
dashboards,created_by,text,YES
dashboards,created_at,timestamp with time zone,YES
dashboards,updated_at,timestamp with time zone,YES
geo_cidades_hoje_snapshot,id,bigint,NO
geo_cidades_hoje_snapshot,estado,text,YES
geo_cidades_hoje_snapshot,cidade,text,YES
geo_cidades_hoje_snapshot,total,integer,NO
geo_fluxo_cidade_unidade_hoje_snapshot,estado_paciente,text,NO
geo_fluxo_cidade_unidade_hoje_snapshot,cidade_paciente,text,NO
geo_fluxo_cidade_unidade_hoje_snapshot,cd_estabelecimento,integer,NO
geo_fluxo_cidade_unidade_hoje_snapshot,unidade_p,text,NO
geo_fluxo_cidade_unidade_hoje_snapshot,unidade_id,integer,NO
geo_fluxo_cidade_unidade_hoje_snapshot,unidade,text,NO
geo_fluxo_cidade_unidade_hoje_snapshot,unidade_uf,text,NO
geo_fluxo_cidade_unidade_hoje_snapshot,unidade_cidade,text,NO
geo_fluxo_cidade_unidade_hoje_snapshot,total,integer,NO
intern_movimentacoes_leitos,CD_ESTABELECIMENTO,numeric,YES
intern_movimentacoes_leitos,UNIDADE,character varying,YES
intern_movimentacoes_leitos,NR_SEQUENCIA,numeric,YES
intern_movimentacoes_leitos,CD_LEITO,numeric,YES
intern_movimentacoes_leitos,IE_SITUACAO,character varying,YES
intern_movimentacoes_leitos,CD_STATUS,character varying,YES
intern_movimentacoes_leitos,STATUS,character varying,YES
intern_movimentacoes_leitos,DT_CRIACAO,timestamp without time zone,YES
intern_movimentacoes_leitos,DT_HISTORICO,timestamp without time zone,YES
intern_movimentacoes_leitos,DT_FIM_HISTORICO,timestamp without time zone,YES
intern_movimentacoes_leitos,DT_ATUALIZACAO,timestamp without time zone,YES
intern_movimentacoes_leitos,DT_CARGA,timestamp with time zone,NO
meta_tempos,id,integer,NO
meta_tempos,CD_ESTABELECIMENTO,numeric,YES
meta_tempos,CHAVE,text,NO
meta_tempos,VALOR_MIN,numeric,NO
meta_tempos,ALERTA_MIN,numeric,YES
meta_tempos_supervisao,id,integer,NO
meta_tempos_supervisao,CD_ESTABELECIMENTO,numeric,YES
meta_tempos_supervisao,CHAVE,text,NO
meta_tempos_supervisao,VALOR_MIN,numeric,NO
ps_resumo_unidades_snapshot,ref_time,timestamp with time zone,NO
ps_resumo_unidades_snapshot,CD_ESTABELECIMENTO,integer,NO
ps_resumo_unidades_snapshot,cd_estabelecimento,integer,NO
ps_resumo_unidades_snapshot,unidade,text,NO
ps_resumo_unidades_snapshot,ativos,integer,NO
ps_resumo_unidades_snapshot,hoje,integer,NO
ps_resumo_unidades_snapshot,media_alta,numeric,NO
ps_resumo_unidades_snapshot,media_min_ate_alta,integer,NO
ps_resumo_unidades_snapshot,media_ate_alta_min,integer,NO
ps_resumo_unidades_snapshot,media_ate_alta,numeric,NO
ps_resumo_unidades_snapshot,maior_ps,integer,NO
ps_resumo_unidades_snapshot,maior_tempo_permanencia_fmt,text,NO
ps_resumo_unidades_snapshot,maior_tempo_permanencia_min,integer,NO
ps_resumo_unidades_snapshot,maior_tempo_ps_min,integer,NO
ps_resumo_unidades_snapshot,triagem_acima_meta,integer,NO
ps_resumo_unidades_snapshot,consulta_acima_meta,integer,NO
ps_resumo_unidades_snapshot,permanencia_acima_meta,integer,NO
ps_resumo_unidades_snapshot,rx_acima_meta,integer,NO
ps_resumo_unidades_snapshot,ecg_acima_meta,integer,NO
ps_resumo_unidades_snapshot,rx_ecg_acima_meta,integer,NO
ps_resumo_unidades_snapshot,tc_acima_meta,integer,NO
ps_resumo_unidades_snapshot,tc_pendente,integer,NO
ps_resumo_unidades_snapshot,tc_laudo_acima_meta,integer,NO
ps_resumo_unidades_snapshot,tc_laudo_pendente,integer,NO
ps_resumo_unidades_snapshot,us_acima_meta,integer,NO
ps_resumo_unidades_snapshot,us_pendente,integer,NO
ps_resumo_unidades_snapshot,us_laudo_acima_meta,integer,NO
ps_resumo_unidades_snapshot,us_laudo_pendente,integer,NO
ps_resumo_unidades_snapshot,tc_us_acima_meta,integer,NO
